step,S,I,R
0,241,9,0
0,241,9,0
5,241,9,0
10,140,110,0
15,118,132,0
20,105,145,0
25,91,159,0
30,81,169,0
35,77,173,0
40,71,179,0
45,67,183,0
50,64,186,0
55,58,192,0
60,58,192,0
65,58,192,0
70,58,192,0
75,57,193,0
80,55,195,0
85,53,197,0
90,52,198,0
95,51,199,0
100,48,202,0
105,39,211,0
110,37,213,0
115,37,213,0
120,37,213,0
125,37,213,0
130,37,213,0
135,36,214,0
140,36,205,9
145,35,206,9
150,35,206,9
155,33,107,110
160,32,86,132
165,27,78,145
170,26,65,159
175,26,55,169
180,26,51,173
185,26,45,179
190,26,41,183
195,25,39,186
200,25,33,192
205,25,33,192
210,25,33,192
215,25,33,192
220,25,32,193
225,25,30,195
230,25,28,197
235,25,27,198
240,25,26,199
245,25,23,202
250,25,14,211
255,25,12,213
260,25,12,213
265,25,12,213
270,25,12,213
275,24,13,213
280,23,13,214
285,23,13,214
290,22,13,215
295,22,13,215
